invoice_id,account_code,po_number,invoice_amount,invoice_date
1,AC2000,PO100001,1830.62,2026-06-19
2,AC3000,PO100002,464.62,2026-06-16
3,AC4000,PO100003,1775.13,2026-06-21
4,AC2000,PO100005,1502.73,2026-06-18
5,AC4000,PO100006,1800.75,2026-06-13
6,AC4000,PO100007,227.27,2026-06-02
7,AC1000,PO100008,348.04,2026-06-06
8,AC1000,PO100009,800.3,2026-06-20
9,AC1000,PO100010,1376.55,2026-06-04
10,AC3000,PO100011,267.53,2026-06-14
11,AC3000,PO100012,1945.18,2026-06-25
12,AC3000,PO100013,1691.26,2026-06-17
13,AC2000,PO100014,779.13,2026-06-06
14,AC3000,PO100015,1002.78,2026-06-04
15,AC2000,PO100016,162.95,2026-06-29
16,AC1000,PO100017,1477.22,2026-06-27
17,AC1000,PO100018,1957.07,2026-06-18
18,AC2000,PO100019,300.36,2026-06-16
19,AC2000,PO100021,1861.38,2026-06-25
20,AC3000,PO100022,828.03,2026-06-22
21,AC4000,PO100023,1804.25,2026-06-15
22,AC2000,PO100024,488.16,2026-06-11
23,AC2000,PO100025,1197.46,2026-06-01
24,AC1000,PO100026,496.44,2026-06-29
25,AC2000,PO100028,593.03,2026-06-16
26,AC4000,PO100029,523.84,2026-06-16
27,AC4000,PO100030,421.3,2026-06-04
28,AC4000,PO100031,851.65,2026-06-28
29,AC1000,PO100032,168.19,2026-06-24
30,AC2000,PO100033,423.6,2026-06-18
31,AC2000,PO100034,872.67,2026-06-09
32,AC2000,PO100035,1755.25,2026-06-03
33,AC4000,PO100036,1625.64,2026-06-28
34,AC1000,PO100037,1939.54,2026-06-30
35,AC2000,PO100038,842.51,2026-06-16
36,AC1000,PO100039,371.04,2026-06-01
37,AC4000,PO100040,567.15,2026-06-26
38,AC2000,PO100042,420.3,2026-06-07
39,AC1000,PO100043,1179.4,2026-06-18
40,AC1000,PO100044,147.78,2026-06-16
41,AC1000,PO100045,1923.52,2026-06-03
42,AC1000,PO100046,1210.32,2026-06-22
43,AC4000,PO100047,283.78,2026-06-29
44,AC1000,PO100048,1257.79,2026-06-14
45,AC3000,PO100049,1872.68,2026-06-07
46,AC2000,PO100050,567.95,2026-06-05
47,AC4000,PO100051,666.55,2026-06-25
48,AC4000,PO100052,1261.26,2026-06-19
49,AC2000,PO100053,1036.48,2026-06-05
50,AC1000,PO100054,1764.58,2026-06-12
51,AC2000,PO100055,904.46,2026-06-18
52,AC3000,PO100057,1866.92,2026-06-04
53,AC2000,PO100058,565.71,2026-06-29
54,AC2000,PO100059,581.08,2026-06-20
55,AC2000,PO100060,1449.34,2026-06-07
56,AC4000,PO100061,539.69,2026-06-30
57,AC1000,PO100062,1286.85,2026-06-27
58,AC3000,PO100063,1553.68,2026-06-21
59,AC4000,PO100064,1125.78,2026-06-14
60,AC1000,PO100065,196.73,2026-06-29
61,AC1000,PO100066,1677.46,2026-06-19
62,AC4000,PO100067,298.52,2026-06-10
63,AC1000,PO100068,1802.9,2026-06-07
64,AC1000,PO100069,739.67,2026-06-18
65,AC2000,PO100070,1855.24,2026-06-08
66,AC4000,PO100071,98.33,2026-06-24
67,AC4000,PO100072,1614.36,2026-06-28
68,AC3000,PO100073,360.44,2026-06-23
69,AC1000,PO100074,795.96,2026-06-02
70,AC3000,PO100076,645.12,2026-06-26
71,AC2000,PO100077,96.15,2026-06-07
72,AC3000,PO100078,593.28,2026-06-03
73,AC3000,PO100080,1881.51,2026-06-04
74,AC2000,PO100081,1182.15,2026-06-09
75,AC3000,PO100083,1470.66,2026-06-11
76,AC4000,PO100084,1232.11,2026-06-17
77,AC2000,PO100085,546.71,2026-06-23
78,AC1000,PO100086,1063.84,2026-06-26
79,AC3000,PO100087,891.03,2026-07-01
80,AC1000,PO100088,1453.52,2026-06-10
81,AC3000,PO100089,834.68,2026-06-10
82,AC4000,PO100090,1346.61,2026-06-13
83,AC3000,PO100091,841.85,2026-06-27
84,AC3000,PO100092,609.48,2026-06-14
85,AC4000,PO100093,912.21,2026-06-07
86,AC1000,PO100095,603.38,2026-06-22
87,AC1000,PO100096,1645.93,2026-06-25
88,AC2000,PO100097,1361.95,2026-06-08
89,AC1000,PO100098,140.12,2026-06-16
90,AC4000,PO100099,858.16,2026-06-21
91,AC4000,PO100100,829.32,2026-06-05
92,AC4000,PO100101,476.74,2026-06-26
93,AC1000,PO100102,1136.94,2026-06-30
94,AC4000,PO100103,310.01,2026-06-15
95,AC4000,PO100104,1244.67,2026-06-24
96,AC4000,PO100105,1799.56,2026-06-24
97,AC4000,PO100106,555.42,2026-06-08
98,AC2000,PO100108,585.47,2026-06-03
99,AC2000,PO100109,579.84,2026-06-11
100,AC2000,PO100110,344.12,2026-06-13
