payment_id,account_code,po_number,payment_amount,payment_date,payment_ref
1,AC4000,PO100003,1775.13,2026-07-10,PMT1
2,AC4000,PO100004,114.29,2026-06-30,PMT2
3,AC2000,PO100005,1502.73,2026-07-01,PMT3
4,AC4000,PO100006,1161.12,2026-06-22,PMT4
5,AC1000,PO100008,348.04,2026-06-24,PMT5
6,AC1000,PO100009,1039.61,2026-07-03,PMT6
7,AC1000,PO100010,1376.55,2026-06-17,PMT7
8,AC3000,PO100011,291.48,2026-06-19,PMT8
9,AC3000,PO100012,2129.32,2026-07-03,PMT9
10,AC3000,PO100013,1691.26,2026-06-28,PMT10
11,AC2000,PO100014,557.66,2026-06-11,PMT11
12,AC3000,PO100015,874.06,2026-06-18,PMT12
13,AC2000,PO100016,194.21,2026-07-06,PMT13
14,AC2000,PO100019,300.36,2026-06-26,PMT14
15,AC2000,PO100020,169.28,2026-07-04,PMT15
16,AC2000,PO100021,2294.12,2026-07-06,PMT16
17,AC3000,PO100022,828.03,2026-07-08,PMT17
18,AC4000,PO100023,1804.25,2026-06-23,PMT18
19,AC2000,PO100024,488.16,2026-06-16,PMT19
20,AC2000,PO100025,1197.46,2026-06-08,PMT20
21,AC1000,PO100026,496.44,2026-07-05,PMT21
22,AC1000,PO100027,436.84,2026-07-06,PMT22
23,AC2000,PO100028,593.03,2026-06-27,PMT23
24,AC2000,PO100028,593.03,2026-06-25,PMT24
25,AC4000,PO100030,421.3,2026-06-22,PMT25
26,AC4000,PO100030,421.3,2026-06-20,PMT26
27,AC4000,PO100031,851.65,2026-07-04,PMT27
28,AC1000,PO100032,168.19,2026-07-09,PMT28
29,AC1000,PO100032,168.19,2026-07-02,PMT29
30,AC2000,PO100033,423.6,2026-07-07,PMT30
31,AC2000,PO100034,872.67,2026-06-28,PMT31
32,AC4000,PO100036,1170.67,2026-07-04,PMT32
33,AC1000,PO100037,1554.4,2026-07-12,PMT33
34,AC2000,PO100038,929.66,2026-07-03,PMT34
